,Period,District,Parameter,MonthlyAverage,PDKnorm
0,2016-02-01,район Богородское,Диоксид азота,0.024,0.04
1,2016-02-01,район Косино-Ухтомский,Диоксид азота,0.031,0.04
2,2016-02-01,район Косино-Ухтомский,Взвешенные частицы РМ10,0.013,0.04
3,2016-02-01,район Косино-Ухтомский,Диоксид серы,0.004,0.05
4,2016-02-01,район Новокосино,Диоксид азота,0.03,0.04
5,2016-02-01,район Новокосино,Взвешенные частицы РМ10,0.016,0.04
6,2016-02-01,район Раменки,Диоксид азота,0.023,0.04
7,2016-02-01,район Раменки,Озон,0.0452,0.03
8,2016-02-01,район Раменки,Взвешенные частицы РМ10,0.013,0.04
9,2016-02-01,район Раменки,Диоксид серы,0.003,0.05
10,2016-02-01,район Тропарёво-Никулино,Диоксид азота,0.032,0.04
11,2016-02-01,Можайский район,Диоксид азота,0.042,0.04
12,2016-02-01,Можайский район,Озон,0.0385,0.03
13,2016-02-01,район Савёлки,Диоксид азота,0.018,0.04
14,2016-02-01,район Силино,Диоксид азота,0.027,0.04
15,2016-02-01,район Силино,Взвешенные частицы РМ10,0.01,0.04
16,2016-02-01,район Крюково,Диоксид азота,0.045,0.04
17,2016-02-01,район Крюково,Озон,0.0311,0.03
18,2016-02-01,поселение Сосенское,Диоксид азота,0.02,0.04
19,2016-02-01,поселение Щербинка,Диоксид азота,0.031,0.04
20,2016-02-01,район Аэропорт,Диоксид азота,0.047,0.04
21,2016-02-01,Дмитровский район,Диоксид азота,0.036,0.04
22,2016-02-01,Дмитровский район,Взвешенные частицы РМ10,0.011,0.04
23,2016-02-01,Дмитровский район,Диоксид серы,0.003,0.05
24,2016-02-01,район Коптево,Диоксид азота,0.034,0.04
25,2016-02-01,Савёловский район,Диоксид азота,0.068,0.04
26,2016-02-01,Савёловский район,Озон,0.0293,0.03
27,2016-02-01,Савёловский район,Диоксид серы,0.003,0.05
28,2016-02-01,район Сокол,Диоксид азота,0.028,0.04
29,2016-02-01,район Южное Медведково,Диоксид азота,0.043,0.04
30,2016-02-01,район Южное Медведково,Диоксид серы,0.005,0.05
31,2016-02-01,Останкинский район,Диоксид азота,0.015,0.04
32,2016-02-01,Останкинский район,Взвешенные частицы РМ10,0.012,0.04
33,2016-02-01,Останкинский район,Диоксид серы,0.0,0.05
34,2016-02-01,район Хорошёво-Мнёвники,Диоксид азота,0.057,0.04
35,2016-02-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.016,0.04
36,2016-02-01,район Хорошёво-Мнёвники,Диоксид серы,0.003,0.05
37,2016-02-01,район Северное Тушино,Диоксид азота,0.04,0.04
38,2016-02-01,район Северное Тушино,Озон,0.0285,0.03
39,2016-02-01,поселение Роговское,Диоксид азота,0.009,0.04
40,2016-02-01,поселение Троицк,Диоксид азота,0.018,0.04
41,2016-02-01,поселение Троицк,Диоксид серы,0.001,0.05
42,2016-02-01,поселение Новофедоровское,Диоксид азота,0.019,0.04
43,2016-02-01,поселение Вороновское,Диоксид азота,0.009,0.04
44,2016-02-01,Мещанский район,Диоксид азота,0.041,0.04
45,2016-02-01,Мещанский район,Взвешенные частицы РМ10,0.017,0.04
46,2016-02-01,Мещанский район,Диоксид серы,0.001,0.05
47,2016-02-01,Басманный район,Диоксид азота,0.046,0.04
48,2016-02-01,Тверской район,Диоксид азота,0.041,0.04
49,2016-02-01,Пресненский район,Диоксид азота,0.029,0.04
50,2016-02-01,Пресненский район,Озон,0.0328,0.03
51,2016-02-01,Пресненский район,Взвешенные частицы РМ10,0.014,0.04
52,2016-02-01,район Хамовники,Диоксид азота,0.054,0.04
53,2016-02-01,район Хамовники,Озон,0.0207,0.03
54,2016-02-01,район Хамовники,Диоксид серы,0.003,0.05
55,2016-02-01,район Марьино,Диоксид азота,0.044,0.04
56,2016-02-01,район Марьино,Озон,0.0365,0.03
57,2016-02-01,район Марьино,Взвешенные частицы РМ10,0.009,0.04
58,2016-02-01,район Марьино,Диоксид серы,0.002,0.05
